# https://www.gestionderiesgos.gob.ec/informes-de-situacion-covid-19-desde-el-13-de-marzo-del-2020/;;
# https://www.salud.gob.ec/wp-content/uploads/2020/09/Boletin-182_Nacional_MSP.pdf;;
date;Covid_ECU;Covid_ECU_cumsum
01.03.2020;0;0
02.03.2020;0;0
03.03.2020;0;0
04.03.2020;0;0
05.03.2020;0;0
06.03.2020;0;0
07.03.2020;0;0
08.03.2020;0;0
09.03.2020;0;0
10.03.2020;0;0
11.03.2020;0;0
12.03.2020;0;0
13.03.2020;1;1
14.03.2020;1;2
15.03.2020;0;2
16.03.2020;0;2
17.03.2020;0;2
18.03.2020;0;2
19.03.2020;2;4
20.03.2020;1;5
21.03.2020;2;7
22.03.2020;7;14
23.03.2020;4;18
24.03.2020;9;27
25.03.2020;2;29
26.03.2020;5;34
27.03.2020;7;41
28.03.2020;7;48
29.03.2020;10;58
30.03.2020;4;62
31.03.2020;17;79
01.04.2020;19;98
02.04.2020;22;120
03.04.2020;25;145
04.04.2020;25;170
05.04.2020;10;180
06.04.2020;11;191
07.04.2020;29;220
08.04.2020;22;242
09.04.2020;30;272
10.04.2020;25;297
11.04.2020;18;315
12.04.2020;18;333
13.04.2020;22;355
14.04.2020;14;369
15.04.2020;19;388
16.04.2020;15;403
17.04.2020;18;421
18.04.2020;35;456
19.04.2020;18;474
20.04.2020;33;507
21.04.2020;13;520
22.04.2020;17;537
23.04.2020;23;560
24.04.2020;16;576
25.04.2020;25;601
26.04.2020;25;626
27.04.2020;37;663
28.04.2020;208;871
29.04.2020;12;883
30.04.2020;17;900
01.05.2020;163;1063
02.05.2020;308;1371
03.05.2020;193;1564
04.05.2020;5;1569
05.05.2020;24;1594
06.05.2020;24;1618
07.05.2020;36;1654
08.05.2020;50;1704
09.05.2020;13;1717
10.05.2020;410;2127
11.05.2020;18;2145
12.05.2020;182;2327
13.05.2020;7;2334
14.05.2020;4;2338
15.05.2020;256;2594
16.05.2020;94;2688
17.05.2020;48;2736
18.05.2020;63;2799
19.05.2020;40;2839
20.05.2020;49;2888
21.05.2020;51;2939
22.05.2020;117;3056
23.05.2020;40;3096
24.05.2020;12;3108
25.05.2020;95;3203
26.05.2020;18;3221
27.05.2020;54;3275
28.05.2020;38;3313
29.05.2020;21;3334
30.05.2020;12;3346
31.05.2020;12;3358
01.06.2020;36;3394
02.06.2020;44;3438
03.06.2020;48;3486
04.06.2020;48;3534
05.06.2020;58;3592
06.06.2020;16;3608
07.06.2020;13;3621
08.06.2020;21;3642
09.06.2020;48;3690
10.06.2020;30;3720
11.06.2020;48;3768
12.06.2020;60;3828
13.06.2020;46;3874
14.06.2020;22;3896
15.06.2020;33;3929
16.06.2020;41;3970
17.06.2020;37;4007
18.06.2020;80;4087
19.06.2020;69;4156
20.06.2020;43;4199
21.06.2020;24;4223
