# https://web.archive.org/web/20200429045842/https://ddc.moph.go.th/viralpneumonia/eng/situation.php;
date;Covid_THA
24.02.2020;0
25.02.2020;0
26.02.2020;0
27.02.2020;0
28.02.2020;0
29.02.2020;0
01.03.2020;1
02.03.2020;0
03.03.2020;0
04.03.2020;0
05.03.2020;0
06.03.2020;0
07.03.2020;0
08.03.2020;0
09.03.2020;0
10.03.2020;0
11.03.2020;0
12.03.2020;0
13.03.2020;0
14.03.2020;0
15.03.2020;0
16.03.2020;0
17.03.2020;0
18.03.2020;0
19.03.2020;0
20.03.2020;0
21.03.2020;0
22.03.2020;0
23.03.2020;0
24.03.2020;3
25.03.2020;0
26.03.2020;0
27.03.2020;1
28.03.2020;1
29.03.2020;1
30.03.2020;2
31.03.2020;1
01.04.2020;2
02.04.2020;3
03.04.2020;4
04.04.2020;1
05.04.2020;3
06.04.2020;3
07.04.2020;1
08.04.2020;3
09.04.2020;2
10.04.2020;1
11.04.2020;2
12.04.2020;3
13.04.2020;2
14.04.2020;1
15.04.2020;2
16.04.2020;3
17.04.2020;1
18.04.2020;0
19.04.2020;0
20.04.2020;0
21.04.2020;1
22.04.2020;1
23.04.2020;1
24.04.2020;0
25.04.2020;1
26.04.2020;0
27.04.2020;1
28.04.2020;2
29.04.2020;0
30.04.2020;0
01.05.2020;0
02.05.2020;0
03.05.2020;0
04.05.2020;0
05.05.2020;0
06.05.2020;1
07.05.2020;0
08.05.2020;0
09.05.2020;1
10.05.2020;0
11.05.2020;0
12.05.2020;0
13.05.2020;0
14.05.2020;0
15.05.2020;0
16.05.2020;0
17.05.2020;0
18.05.2020;0
19.05.2020;0
20.05.2020;0
21.05.2020;0
22.05.2020;0
23.05.2020;0
24.05.2020;1
25.05.2020;0
26.05.2020;0
27.05.2020;0
28.05.2020;0
29.05.2020;0
30.05.2020;0
31.05.2020;0
01.06.2020;1
02.06.2020;0
03.06.2020;0
