# Merbach et al. 2021 DOI 10.1055/a-1288-4520;;
# https://www.naturemwelt.lu/de/blaumeisensterben-fazit/;;
date;tits_LUX;tits_GER
01.03.2020;NA;26
02.03.2020;NA;8
03.03.2020;1;18
04.03.2020;0;11
05.03.2020;0;13
06.03.2020;2;0
07.03.2020;0;16
08.03.2020;0;13
09.03.2020;0;11
10.03.2020;2;36
11.03.2020;0;18
12.03.2020;2;13
13.03.2020;0;13
14.03.2020;3;30
15.03.2020;0;73
16.03.2020;0;20
17.03.2020;0;18
18.03.2020;0;35
19.03.2020;0;28
20.03.2020;1;90
21.03.2020;0;20
22.03.2020;0;20
23.03.2020;3;43
24.03.2020;0;32
25.03.2020;1;67
26.03.2020;0;42
27.03.2020;0;45
28.03.2020;1;102
29.03.2020;1;45
30.03.2020;1;110
31.03.2020;4;65
01.04.2020;1;127
02.04.2020;9;222
03.04.2020;7;195
04.04.2020;2;257
05.04.2020;8;272
06.04.2020;1;347
07.04.2020;12;448
08.04.2020;22;660
09.04.2020;15;863
10.04.2020;19;1201
11.04.2020;10;1038
12.04.2020;25;901
13.04.2020;16;583
14.04.2020;25;630
15.04.2020;18;582
16.04.2020;15;567
17.04.2020;22;580
18.04.2020;20;597
19.04.2020;23;487
20.04.2020;13;382
21.04.2020;10;322
22.04.2020;9;339
23.04.2020;5;329
24.04.2020;8;271
25.04.2020;5;266
26.04.2020;3;226
27.04.2020;2;199
28.04.2020;3;146
29.04.2020;2;96
30.04.2020;1;86
01.05.2020;1;113
02.05.2020;0;93
03.05.2020;1;193
04.05.2020;2;101
05.05.2020;0;98
06.05.2020;1;126
07.05.2020;2;113
08.05.2020;0;163
09.05.2020;1;128
10.05.2020;1;133
11.05.2020;0;143
12.05.2020;0;NA
13.05.2020;2;NA
14.05.2020;0;NA
15.05.2020;1;NA
16.05.2020;1;NA
17.05.2020;0;NA
18.05.2020;1;NA
19.05.2020;2;NA
20.05.2020;0;NA
21.05.2020;1;NA
22.05.2020;0;NA
23.05.2020;0;NA
24.05.2020;0;NA
25.05.2020;0;NA
26.05.2020;1;NA
27.05.2020;NA;NA
28.05.2020;NA;NA
29.05.2020;NA;NA
30.05.2020;NA;NA
31.05.2020;NA;NA
01.06.2020;NA;NA
02.06.2020;NA;NA
03.06.2020;NA;NA
04.06.2020;NA;NA
05.06.2020;NA;NA
06.06.2020;NA;NA
07.06.2020;NA;NA
08.06.2020;NA;NA
09.06.2020;NA;NA
10.06.2020;NA;NA
11.06.2020;NA;NA
12.06.2020;NA;NA
13.06.2020;NA;NA
