# https://tefthailand.com/%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%94%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%82-20/;;
date;AHS_deaths;AHS_cases
24.02.2020;1;1
25.02.2020;0;0
26.02.2020;0;0
27.02.2020;0;0
28.02.2020;0;0
29.02.2020;0;0
01.03.2020;1;0
02.03.2020;0;0
03.03.2020;0;0
04.03.2020;0;0
05.03.2020;0;0
06.03.2020;0;0
07.03.2020;0;0
08.03.2020;0;0
09.03.2020;0;0
10.03.2020;0;0
11.03.2020;0;0
12.03.2020;0;0
13.03.2020;0;1
14.03.2020;0;2
15.03.2020;1;0
16.03.2020;2;1
17.03.2020;1;0
18.03.2020;3;5
19.03.2020;1;1
20.03.2020;4;4
21.03.2020;0;2
22.03.2020;3;5
23.03.2020;1;12
24.03.2020;18;19
25.03.2020;16;19
26.03.2020;20;24
27.03.2020;12;16
28.03.2020;18;7
29.03.2020;21;20
30.03.2020;8;8
31.03.2020;18;17
01.04.2020;13;11
02.04.2020;9;6
03.04.2020;11;17
04.04.2020;10;13
05.04.2020;13;17
06.04.2020;9;11
07.04.2020;7;7
08.04.2020;16;15
09.04.2020;15;17
10.04.2020;18;24
11.04.2020;14;8
12.04.2020;12;15
13.04.2020;12;10
14.04.2020;9;8
15.04.2020;20;16
16.04.2020;10;23
17.04.2020;16;21
18.04.2020;12;10
19.04.2020;12;9
20.04.2020;15;21
21.04.2020;14;11
22.04.2020;13;8
23.04.2020;9;6
24.04.2020;9;5
25.04.2020;3;2
26.04.2020;13;13
27.04.2020;7;10
28.04.2020;8;11
29.04.2020;8;11
30.04.2020;2;3
01.05.2020;4;4
02.05.2020;8;5
03.05.2020;4;5
04.05.2020;8;8
05.05.2020;2;2
06.05.2020;3;5
07.05.2020;3;2
08.05.2020;2;8
09.05.2020;2;0
10.05.2020;0;0
11.05.2020;0;0
12.05.2020;0;2
13.05.2020;7;1
14.05.2020;3;1
15.05.2020;0;0
16.05.2020;4;1
17.05.2020;0;0
18.05.2020;0;1
19.05.2020;5;1
20.05.2020;0;0
21.05.2020;1;1
22.05.2020;0;3
23.05.2020;0;2
24.05.2020;3;0
25.05.2020;0;0
26.05.2020;0;0
27.05.2020;0;0
28.05.2020;0;0
29.05.2020;0;0
30.05.2020;0;0
31.05.2020;0;0
01.06.2020;0;0
02.06.2020;0;0
03.06.2020;0;0
